,temperature_2m_mean,Year_Month,Trend
0,6.737235023041475,1965-01,8.003898941701642
1,8.243061955965182,1966-01,7.9770499572036755
2,8.952789938556068,1967-01,7.952631785467247
3,8.068927821035718,1968-01,7.930644426492355
4,6.804231950844854,1969-01,7.911087880279003
5,7.015177291346646,1970-01,7.893962146827188
6,8.375884536610343,1971-01,7.8792672261369106
7,7.978271845260166,1972-01,7.867003118208172
8,8.042496799795186,1973-01,7.857169823040971
9,8.289206989247312,1974-01,7.849767340635308
10,9.23835189452125,1975-01,7.844795670991183
11,7.151761525151403,1976-01,7.842254814108596
12,8.064759344598054,1977-01,7.842144769987548
13,7.124428443420379,1978-01,7.844465538628037
14,7.272969790066565,1979-01,7.8492171200300636
15,6.593737795080955,1980-01,7.856399514193629
16,7.850098566308244,1981-01,7.866012721118731
17,8.572666410650282,1982-01,7.8780567408053725
18,9.280704045058885,1983-01,7.892531573253552
19,8.038321900877518,1984-01,7.909437218463269
20,6.8645097286226315,1985-01,7.928773676434524
21,7.61594982078853,1986-01,7.950540947167317
22,6.57051267281106,1987-01,7.974739030661648
23,8.512466011617848,1988-01,8.001367926917517
24,9.806441372247823,1989-01,8.030427635934924
25,9.487869303635433,1990-01,8.061918157713869
26,8.247702892985151,1991-01,8.095839492254353
27,8.912859349894944,1992-01,8.132191639556373
28,7.897711213517664,1993-01,8.170974599619933
29,9.107082053251409,1994-01,8.212188372445029
30,8.336073348694315,1995-01,8.255832958031665
31,7.018804844889384,1996-01,8.301908356379837
32,7.993135560675884,1997-01,8.35041456748955
33,8.263812724014338,1998-01,8.401351591360799
34,9.081181515616999,1999-01,8.454719427993584
35,9.936508157211717,2000-01,8.51051807738791
36,8.377776497695852,2001-01,8.568747539543773
37,9.4365770609319,2002-01,8.629407814461175
38,8.405407066052227,2003-01,8.692498902140112
39,8.449127734519836,2004-01,8.75802080258059
40,8.699269073220686,2005-01,8.825973515782605
41,8.826959165386585,2006-01,8.896357041746159
42,9.485105606758832,2007-01,8.969171380471249
43,9.701166728463726,2008-01,9.044416531957879
44,8.646927163338454,2009-01,9.122092496206045
45,7.540654121863799,2010-01,9.20219927321575
46,8.95035394265233,2011-01,9.284736862986993
47,8.534428686194538,2012-01,9.369705265519775
48,8.51973886328725,2013-01,9.457104480814094
49,9.664934715821813,2014-01,9.54693450886995
50,10.124098822324628,2015-01,9.639195349687345
51,9.596343777036214,2016-01,9.733887003266279
52,9.113891449052739,2017-01,9.83100946960675
53,10.256878520225294,2018-01,9.930562748708759
54,10.774350998463902,2019-01,10.032546840572305
55,10.372610616734642,2020-01,10.136961745197391
56,8.771969406041986,2021-01,10.243807462584014
57,9.685836533538145,2022-01,10.353083992732174
58,10.176665901668175,2023-01,10.464791335641873
59,10.087041899721521,2024-01,10.578929491313112
60,10.485942521838274,2025-01,10.695498459745885
61,10.745419436240605,2026-01,10.8144982409402
62,10.951005626663688,2027-01,10.93592883489605
63,11.231006386437004,2028-01,11.059790241613438
64,11.479751143004513,2029-01,11.186082461092365
65,11.726600070828056,2030-01,11.31480549333283
66,11.983712860223301,2031-01,11.445959338334834
67,12.234907897694796,2032-01,11.579543996098375
68,12.257148441367931,2033-01,11.715559466623453
